src_ip,dst_ip,packet_size,query_type,is_response,ttl,ancount,likely_spoofed_response,label
192.168.196.1,1.1.1.1,82,1,0,128,0,0,1
1.1.1.1,192.168.196.1,191,1,1,54,5,0,1
192.168.196.1,1.1.1.1,91,1,0,128,0,0,1
1.1.1.1,192.168.196.1,222,1,1,54,3,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
192.168.196.254,224.0.0.251,87,12,0,255,0,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
192.168.196.1,1.1.1.1,92,1,0,128,0,0,1
192.168.196.1,1.1.1.1,92,65,0,128,0,0,1
1.1.1.1,192.168.196.1,212,1,1,54,3,0,1
1.1.1.1,192.168.196.1,260,65,1,54,2,0,1
192.168.196.1,1.1.1.1,92,1,0,128,0,0,1
1.1.1.1,192.168.196.1,213,1,1,54,3,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
192.168.196.1,1.1.1.1,91,1,0,128,0,0,1
1.1.1.1,192.168.196.1,222,1,1,54,3,0,1
192.168.196.1,1.1.1.1,91,1,0,128,0,0,1
1.1.1.1,192.168.196.1,226,1,1,54,3,0,1
192.168.196.1,224.0.0.251,87,12,0,255,0,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
192.168.196.1,1.1.1.1,79,1,0,128,0,0,1
192.168.196.1,1.1.1.1,79,65,0,128,0,0,1
1.1.1.1,192.168.196.1,249,1,1,54,5,0,1
1.1.1.1,192.168.196.1,279,65,1,54,3,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
192.168.196.1,1.1.1.1,88,1,0,128,0,0,1
192.168.196.1,1.1.1.1,88,65,0,128,0,0,1
1.1.1.1,192.168.196.1,88,1,1,54,0,0,1
1.1.1.1,192.168.196.1,148,65,1,54,0,0,1
192.168.196.1,1.0.0.1,88,1,0,128,0,0,1
1.0.0.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.1.1.1,88,1,0,128,0,0,1
1.1.1.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.0.0.1,88,1,0,128,0,0,1
1.0.0.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.1.1.1,88,1,0,128,0,0,1
1.1.1.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.0.0.1,88,1,0,128,0,0,1
1.0.0.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.1.1.1,88,1,0,128,0,0,1
192.168.196.1,1.1.1.1,88,65,0,128,0,0,1
1.1.1.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.0.0.1,88,1,0,128,0,0,1
1.1.1.1,192.168.196.1,148,65,1,54,0,0,1
1.0.0.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.1.1.1,88,1,0,128,0,0,1
1.1.1.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.0.0.1,88,1,0,128,0,0,1
1.0.0.1,192.168.196.1,88,1,1,54,0,0,1
192.168.196.1,1.0.0.1,74,1,0,128,0,0,1
192.168.196.1,1.1.1.1,74,1,0,128,0,0,1
192.168.196.1,1.0.0.1,74,1,0,128,0,0,1
1.0.0.1,192.168.196.1,90,1,1,54,1,0,1
1.1.1.1,192.168.196.1,90,1,1,54,1,0,1
1.0.0.1,192.168.196.1,90,1,1,54,1,0,1
192.168.196.1,1.0.0.1,80,1,0,128,0,0,1
1.0.0.1,192.168.196.1,146,1,1,54,2,0,1
192.168.196.1,224.0.0.251,87,12,0,255,0,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
192.168.196.1,1.1.1.1,74,1,0,128,0,0,1
1.1.1.1,192.168.196.1,344,1,1,54,12,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
192.168.196.1,1.1.1.1,80,1,0,128,0,0,1
1.1.1.1,192.168.196.1,285,1,1,54,5,0,1
192.168.196.254,224.0.0.251,87,12,0,255,0,0,1
192.168.196.1,1.1.1.1,85,1,0,128,0,0,1
192.168.196.1,1.1.1.1,85,65,0,128,0,0,1
1.1.1.1,192.168.196.1,117,1,1,54,2,0,1
1.1.1.1,192.168.196.1,158,65,1,54,1,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,192.168.1.200,151,255,1,128,2,0,1
192.168.196.1,224.0.0.251,87,12,0,255,0,0,1
192.168.196.1,1.1.1.1,74,1,0,128,0,0,0
1.1.1.1,192.168.196.1,359,1,1,54,12,0,0
192.168.196.1,1.1.1.1,71,28,0,64,0,0,0
192.168.196.1,1.1.1.1,71,28,0,64,0,0,0
192.168.196.1,1.1.1.1,71,1,0,64,0,0,0
192.168.196.1,1.1.1.1,70,15,0,64,0,0,0
192.168.196.1,1.1.1.1,70,1,0,64,0,0,0
192.168.196.1,1.1.1.1,70,15,0,64,0,0,0
192.168.196.1,1.1.1.1,73,28,0,64,0,0,0
1.1.1.1,192.168.196.1,239,28,1,54,6,0,0
1.1.1.1,192.168.196.1,167,1,1,54,6,0,0
192.168.196.1,1.1.1.1,73,15,0,64,0,0,0
1.1.1.1,192.168.196.1,102,1,1,54,2,0,0
1.1.1.1,192.168.196.1,101,28,1,54,1,0,0
192.168.196.1,1.1.1.1,73,1,0,64,0,0,0
192.168.196.1,1.1.1.1,73,28,0,64,0,0,0
192.168.196.1,1.1.1.1,73,1,0,64,0,0,0
192.168.196.1,1.1.1.1,73,15,0,64,0,0,0
1.1.1.1,192.168.196.1,89,1,1,54,1,0,0
192.168.196.1,1.1.1.1,68,28,0,64,0,0,0
192.168.196.1,1.1.1.1,68,28,0,64,0,0,0
192.168.196.1,1.1.1.1,68,2,0,64,0,0,0
1.1.1.1,192.168.196.1,213,28,1,54,5,0,0
192.168.196.1,1.1.1.1,70,1,0,64,0,0,0
1.1.1.1,192.168.196.1,96,28,1,54,1,0,0
192.168.196.1,1.1.1.1,70,28,0,64,0,0,0
192.168.196.1,1.1.1.1,70,1,0,64,0,0,0
1.1.1.1,192.168.196.1,96,28,1,54,1,0,0
192.168.196.1,8.8.8.8,71,1,0,64,0,0,0
1.1.1.1,192.168.196.1,86,1,1,54,1,0,0
192.168.196.1,8.8.8.8,71,28,0,64,0,0,0
1.1.1.1,192.168.196.1,86,1,1,54,1,0,0
192.168.196.1,8.8.8.8,71,1,0,64,0,0,0
192.168.196.1,8.8.8.8,70,2,0,64,0,0,0
192.168.196.1,8.8.8.8,70,15,0,64,0,0,0
8.8.8.8,192.168.196.1,167,1,1,110,6,0,0
8.8.8.8,192.168.196.1,239,28,1,110,6,0,0
192.168.196.1,8.8.8.8,70,28,0,64,0,0,0
192.168.196.1,8.8.8.8,73,28,0,64,0,0,0
192.168.196.1,8.8.8.8,73,2,0,64,0,0,0
8.8.8.8,192.168.196.1,167,1,1,110,6,0,0
192.168.196.1,8.8.8.8,73,28,0,64,0,0,0
192.168.196.1,8.8.8.8,73,2,0,64,0,0,0
192.168.196.1,8.8.8.8,73,28,0,64,0,0,0
192.168.196.1,8.8.8.8,73,2,0,64,0,0,0
192.168.196.1,8.8.8.8,68,1,0,64,0,0,0
192.168.196.1,8.8.8.8,68,1,0,64,0,0,0
192.168.196.1,8.8.8.8,68,15,0,64,0,0,0
8.8.8.8,192.168.196.1,153,28,1,110,0,0,0
192.168.196.1,8.8.8.8,70,15,0,64,0,0,0
192.168.196.1,8.8.8.8,70,15,0,64,0,0,0
192.168.196.1,8.8.8.8,70,15,0,64,0,0,0
192.168.196.1,9.9.9.9,71,2,0,64,0,0,0
8.8.8.8,192.168.196.1,213,28,1,109,5,0,0
